sentiment,sentence,label
positive,Estonia 's beer market overall grew three percent last year to 130 million liters .,2
negative,"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",0
negative,"In the Baltic countries , sales fell by 42.6 % .",0
neutral,All depends on financing .,1
neutral,"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",1
neutral,"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch - HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",1
positive,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,2
neutral,"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",1
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",1
neutral,"The familiar blue , white , and red HK seal has received a more authentic look .",1
neutral,Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,1
neutral,All are welcome .,1
positive,Nordea sees a return to positive growth for the Baltic countries in 2011 .,2
neutral,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,1
neutral,"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",1
neutral,"In 2007 , almost two thirds of Orion 's net sales came from these drugs .",1
positive,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
negative,The total need for staff cuts corresponds to about 300 man-years .,0
neutral,Rapala Fishing Frenzy 2009 .,1
neutral,`` The rest of this week 's tapings of Jimmy Kimmel Live have been canceled until he is back on his feet .,1
neutral,"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment .",1
negative,The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,0
positive,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",2
neutral,"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",1
positive,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",2
neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",1
positive,"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",2
neutral,VNH generates annual net sales of about 5 mln eur and employs 21 people .,1
positive,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,2
neutral,"The mill will have capacity to produce 500,000 tonnes of pulp per year .",1
neutral,The presentation material can be viewed on the company 's website in English after the conference .,1
neutral,During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .,1
neutral,"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",1
neutral,N-Viro operates processing facilities independently as well as in partnership with municipalities .,1
positive,"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",2
neutral,The total project duration is three years and it is valued at some EUR11 .5 m.,1
neutral,"The buildings , with about 40 condominiums each , will be built in 4 or 5 stages .",1
negative,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,0
negative,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",0
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2
neutral,"Sami Sepp+Ænen , CEO for Elisa Eesti , says the novel network allows fast mobile broadband for sparsely populated areas .",1
positive,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",2
neutral,The acquisition is expected to take place by the end of August 2007 .,1
neutral,The insurance division turned a EUR120m profit .,1
negative,"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",0
positive,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,2
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2
positive,"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",2
neutral,"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",1
neutral,It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,1
neutral,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .",1
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2
neutral,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .,1
neutral,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,1
positive,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .",2
neutral,"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",1
positive,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,2
neutral,"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",1
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",2
positive,The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,2
neutral,"Unit prices for straddle carriers vary between EUR700 ,000 and EUR900 ,000 , the company added .",1
neutral,"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",1
neutral,It is the first application in the market for invoice and purchase requisition approval with a mobile device .,1
negative,"Stora Enso Oyj , the largest papermaker , in October said it would close four mills .",0
neutral,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",1
neutral,Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,1
neutral,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,1
neutral,"On preliminary estimate , the hotel will operate under the brand Novotel .",1
neutral,"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",1
neutral,"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",1
neutral,Poyry is a global expert in consulting and engineering .,1
neutral,These restrictions do not apply to statutory dividends .,1
neutral,"MANAVIGATOR-November 1 , 2010-Deal snapshot : SWEDISH PEAB BUYS EQUIPMENT RENTAL FIRM CRAMO Swedish construction company Peab AB ( STO : PEAB B ) announced the acquisition of equipment rental company Cramo Entreprenadmaskiner AB from Finnish group Cramo Oyj ( HEL : CRA1V ) .",1
positive,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,2
neutral,"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",1
neutral,Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) reported on Friday ( 15 August ) an operating profit of EUR65 .0 m on net sales of EUR342 .9 m for the period January-June 2008 .,1
positive,"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",2
neutral,"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",1
positive,"Profit per share was EUR 1.03 , up from EUR 0.87 .",2
positive,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",2
neutral,The event can also be viewed as a live audio webcast at www.ahlstrom.com .,1
positive,"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",2
neutral,"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",1
neutral,"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",1
neutral,"It is necessary to strengthen the company 's operations , however .",1
positive,We are now in a position to pursue novel clinical candidates going forward . '',2
neutral,"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",1
neutral,"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",1
negative,"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",0
neutral,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,1
neutral,"The mill 's raw material need will increase by 100,000 m3 of wood .",1
neutral,Delivery will start immediately in June 2008 and will be completed in 2008 .,1
neutral,"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",1
neutral,"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",1
neutral,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,1
negative,The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,0
neutral,"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",1
neutral,"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",1
